time,Native Heap(MB),Dalvik Heap(MB)
18:00:07,7.73,3.81
18:00:09,17.93,15.22
18:00:11,25.13,17.60
18:00:13,25.30,13.65
18:00:16,25.30,13.65
18:00:18,25.24,13.16
18:00:20,25.45,19.42
18:00:22,29.12,26.62
18:00:25,28.76,25.45
18:00:27,28.75,25.45
18:00:29,28.79,25.33
18:00:31,28.76,21.32
18:00:34,28.34,21.32
18:00:36,29.34,37.03
18:00:38,31.68,36.63
18:00:41,31.05,35.02
18:00:43,30.77,35.03
18:00:46,31.06,35.64
18:00:48,31.84,36.02
18:00:51,31.14,38.13
18:00:53,30.61,39.18
18:00:55,31.37,39.20
18:00:58,31.34,40.51
18:01:00,30.63,41.06
18:01:03,32.09,41.27
18:01:05,31.59,43.43
18:01:08,30.66,42.52
18:01:10,32.59,43.75
18:01:13,31.48,45.10
18:01:15,30.76,44.11
18:01:17,32.01,43.88
18:01:20,31.52,43.92
18:01:22,31.11,43.98
18:01:25,31.51,44.40
18:01:27,31.74,45.48
18:01:30,31.01,45.11
18:01:32,32.44,46.10
18:01:35,30.86,46.11
18:01:37,30.79,45.76
18:01:39,31.86,46.35
