time,下载速度(KB/s),上传速度(KB/s),平均下载速度(KB/s),平均上传速度(KB/s),下载总流量(KB),上传总流量(KB)
18:00:06,0.00,0.00,0.00,0.00,0.00,0.00
18:00:07,8.88,3.72,8.05,3.37,9.45,3.96
18:00:08,37.69,14.07,22.09,8.44,49.22,18.80
18:00:09,111.45,17.45,50.46,11.30,164.70,36.88
18:00:10,101.99,14.14,63.00,11.99,271.81,51.73
18:00:11,136.30,11.59,77.27,11.91,414.00,63.83
18:00:12,226.30,10.09,101.56,11.62,650.08,74.35
18:00:13,0.00,0.00,87.43,10.00,650.08,74.35
18:00:14,0.00,0.00,76.76,8.78,650.08,74.35
18:00:15,0.05,0.04,68.23,7.81,650.13,74.39
18:00:16,0.00,0.06,61.48,7.04,650.13,74.45
18:00:17,0.30,0.20,55.93,6.42,650.45,74.66
18:00:18,4.44,0.10,51.71,5.90,655.06,74.77
18:00:19,10.04,3.65,48.56,5.73,665.45,78.54
18:00:20,95.11,6.38,51.89,5.78,766.00,85.29
18:00:21,29.05,3.56,50.39,5.63,796.28,89.00
18:00:22,3.46,0.29,47.49,5.30,799.88,89.30
18:00:23,0.00,0.00,44.71,4.99,799.88,89.30
18:00:25,11.25,0.77,42.83,4.75,811.85,90.12
18:00:26,0.11,0.00,40.62,4.51,811.96,90.12
18:00:27,0.11,0.00,38.61,4.28,812.08,90.12
18:00:28,0.00,0.00,36.79,4.08,812.08,90.12
18:00:29,0.00,0.00,35.10,3.89,812.08,90.12
18:00:30,0.06,0.06,33.55,3.73,812.15,90.18
18:00:31,0.11,0.00,32.17,3.57,812.26,90.18
18:00:32,0.11,0.05,30.91,3.43,812.38,90.24
18:00:33,0.06,0.00,29.71,3.30,812.44,90.24
18:00:34,0.85,0.53,28.66,3.20,813.32,90.78
18:00:35,9.51,2.03,27.98,3.16,823.26,92.90
18:00:36,159.64,11.75,32.46,3.45,988.69,105.08
18:00:37,95.82,5.36,34.55,3.51,1088.46,110.66
18:00:38,1.70,0.61,33.49,3.42,1090.25,111.31
18:00:39,34.50,1.43,33.52,3.36,1126.09,112.79
18:00:40,0.00,0.00,32.52,3.26,1126.09,112.79
18:00:41,0.00,0.00,31.57,3.16,1126.09,112.79
18:00:42,0.00,0.00,30.66,3.07,1126.09,112.79
18:00:43,0.00,0.00,29.82,2.99,1126.09,112.79
18:00:44,0.84,0.56,29.05,2.92,1126.96,113.37
18:00:45,65.81,3.80,30.01,2.95,1195.39,117.32
18:00:46,11.43,0.68,29.54,2.89,1207.23,118.03
18:00:47,0.00,0.00,28.80,2.82,1207.23,118.03
18:00:49,63.13,3.29,29.63,2.83,1272.65,121.44
18:00:50,480.36,8.37,40.43,2.96,1779.51,130.27
18:00:51,0.27,0.26,39.51,2.90,1779.79,130.54
18:00:52,3.05,3.25,38.69,2.91,1782.94,133.90
18:00:53,67.33,2.30,39.34,2.89,1854.93,136.36
18:00:54,0.00,0.00,38.49,2.83,1854.93,136.36
18:00:55,0.00,0.00,37.66,2.77,1854.93,136.36
18:00:56,44.55,2.30,37.80,2.76,1901.07,138.74
18:00:57,10.88,1.03,37.25,2.72,1912.45,139.82
18:00:58,0.00,0.00,36.52,2.67,1912.45,139.82
18:00:59,0.00,0.00,35.81,2.62,1912.45,139.82
18:01:00,102.33,5.20,37.08,2.67,2018.76,145.22
18:01:01,0.00,0.00,36.39,2.62,2018.76,145.22
18:01:02,0.00,0.00,35.70,2.57,2018.76,145.22
18:01:03,1.62,0.56,35.09,2.53,2020.45,145.80
18:01:04,73.36,4.07,35.77,2.56,2097.78,150.09
18:01:05,0.00,0.00,35.15,2.52,2097.78,150.09
18:01:06,0.95,1.68,34.56,2.50,2098.78,151.85
18:01:07,14.06,3.34,34.22,2.51,2113.35,155.31
18:01:08,58.69,7.07,34.63,2.59,2174.69,162.69
18:01:09,1.61,1.54,34.08,2.57,2176.39,164.31
18:01:10,0.00,0.00,33.54,2.53,2176.39,164.31
18:01:12,16.45,2.71,33.26,2.53,2193.80,167.18
18:01:13,29.29,1.62,33.20,2.52,2224.18,168.85
18:01:14,0.11,0.00,32.70,2.48,2224.30,168.85
18:01:15,27.74,2.48,32.62,2.48,2253.03,171.42
