time,下载速度(KB/s),上传速度(KB/s),平均下载速度(KB/s),平均上传速度(KB/s),下载总流量(KB),上传总流量(KB)
18:43:03,0.00,0.00,0.00,0.00,0.00,0.00
18:43:04,0.34,0.18,0.33,0.17,0.36,0.19
18:43:05,0.15,0.14,0.24,0.16,0.52,0.33
18:43:06,2.42,0.75,0.96,0.35,3.02,1.11
18:43:07,503.57,12.68,125.41,3.40,525.82,14.27
18:43:08,484.77,13.09,196.72,5.33,1029.10,27.87
18:43:09,274.63,10.84,209.57,6.24,1312.87,39.07
18:43:10,174.28,5.44,204.56,6.12,1493.66,44.71
18:43:11,406.91,12.37,230.19,6.92,1924.48,57.81
18:43:12,484.22,12.36,258.20,7.52,2426.35,70.62
18:43:13,245.56,10.19,256.95,7.78,2680.38,81.17
18:43:14,341.83,9.74,264.72,7.96,3039.56,91.40
