问题分类,Task,数量,问题名称,问题描述,UID,版本,系统,日期,进度,图片链接1,图片链接2,图片链接3
消息,"T27333
T35827",1,inbox打不开,I have so many msg stored but can't see  a single one... Plzz help....;,"5066549358169553	",7.3.3,Android 8.1.0,2019/4/17 3:16,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/722b32bf537615ddb4a66a8b8ca0e53d.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/1b88cdb8016983485b9e0147a0da2836.jpg,
消息,"T27333
T35827",1,inbox打不开,"Resp.Sir,;Inbox not opening, system gets hanged, whilst trying to open invox,;PL.help.,Thanks,;mohan.d.indurkar@gmail.com;","4785074603767167	",7.3.2,Android 5.0.2,2019/4/17 2:03,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/31f320ec8fda5b414dcefafc1f4817f4.jpg,,
消息,"T27333
T35827",1,inbox打不开,i can not open notification ...if i click notificacation  then blank ....thanks ;,"6473924134397006	",7.3.3,Android 4.4.4,2019/4/16 17:17,,,,
消息,"T27333
T35827",1,inbox打不开,Sir whenever I open my inbox my sargam app is hanging and not responding. I can't see anyone comment and nothing else. ;,"5066549353973210	",7.3.3,Android 7.0,2019/4/16 9:42,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/70cfbcf589501bbb041e9cfd6e6f1c67.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/9fa8322abfa69eadd9f0613adeb1216b.jpg,
KTV,T38936,1,KTV无法评论, Dear sir ;     I. Am unable  to send msg for in party. Room. Because.    Messege fiction is not show ing in.  In room in my id  only my id showing but. Messege dictionary is not sbowing;,"5348024336678134	",7.3.3,Android 9,2019/4/16 6:29,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/f1877df5702d2cb36b4b5da74157905c.jpg,,
VIP,,1,vip按钮消失,I don't have the restore button when you asked me to go to settings- vip - restore. My problem is still the same which is i don't have the sound effects for the vip user such as the magic button.. please fix this problem so i can get benefit of vip features.;Thank you;;,"5910973797407388	",7.3.3,Android 9,2019/4/16 9:45,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/aa3e743367ea8e3815178422313b9863.jpg,,
消息,,1,不能发送私信,"Sir ,my star maker messenger is not working properly.it is always connecting.i am not able to send and receive the messages. Solve this problem immediately. I am sending an image.tq;","5348024338196858	",7.3.3,Android 7.0,2019/4/16 10:10,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/112e0bdc00fb2b2a447812da2f871c91.jpg,,
详情页,,1,不能取消关注,"Dear starmaker service center worker,  I beg to say that i m unable to unfollow a person from my following list his profile is not showing...screenshots already send to u so, please help me to remove that person(Dave whittekar)  from my following list;I hope u understand my person and become helpful for me ;","3638964207	",7.3.2,Android 8.1.0,2019/4/17 6:32,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/f098e7d2b3020d4e7cf7c31696f2a236.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/2f587e21d9fdf6998f0b5c226eb1e849.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/069b3a2f82419044f95f26a1bc425013.jpg
KTV,,1,不能送礼, 請問為什麼我要回覆按第三個朋友都不能回 ，還有送禮物 一樣第三個朋友也不能按紅箭發佈。;Ps. 我昨天有錄歌放在草稿 ， 唱那麼辛苦， 今天早上全部都不見。謝謝;,"4785074603889048	",7.3.3,Android 8.1.0,2019/4/16 23:35,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/aeffef476f0d5abe9df1f6e827f4cf7b.jpg,,
作品/发布,T38936,1,歌曲无法评论,"Your customer service center is the worst service center,i put my complain many times but no solution no answer,i am unable to comment and reply also plz help me,i want to respond my followers ;","5066549357103881	",7.3.3,Android 7.1.2,2019/4/17 4:11,,,,
