"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug其他 Other bug","","1","没有家族聊天群入口","[""Dear"",""I am captain of family I'd 102375"",""I by mistake left the chat group"",""Please advice me how could u  I be added again"",""It is important for me to add or remove any person"",""Please advise"",""Or add a new features in family so that captain could readd again in a chat group..plz""]","844424931510303	","7.5.2","9","2019/09/29 07:02:36","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/eb9373b89784092ce6fed89aed7b2c4d.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/06d944003fd3a31300f222b61e308aea.jpg","","sm_in","en","CPH1938"
"Bug其他 Other bug","","1","VIP没有聊天气泡","[""I am vip 2 user but my comments is not showing in the bobble chat so please help me while I m looking in tools to activate booble chat what can't fond any option because I don't see any bubble chat options so please help me""]","5066549357711026	","7.5.3","8.1.0","2019/10/02 18:29:40","BUG","","","","sm","en","Redmi 5"
"Bug其他 Other bug","","1","VIP没有聊天气泡","[""I become a VIP2.but i dont have a buble text.im search in the tools i dont have too.""]","6192448701946420	","7.5.2","8.1.0","2019/10/03 00:03:45","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/8aae7ba8e536dd00c2a73ddbc6779a79.jpg","","","sm_id","in","Redmi Note 6 Pro"
"Bug其他 Other bug","","1","VIP没有聊天气泡","[""As per the wealth value I became VIP 2 this month again. But I don't have VIP 2 chat bubble. I've restarted the app and re-logged in . But still facing the same issue. ""]","5348024336339717	","7.5.3","9","2019/10/03 04:27:42","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/d28d3ec1c3a6a386ec91ee871d2adbd6.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/f44237a5a3e8ff913cbbc4f520591cb6.jpg","","sm","en","SM-J810G"
"Bug其他 Other bug","","1","没有家族聊天群入口","[""I am in family ,but left chat group yesterday, how I can add my self to chat group of my family, as captain not getting any option to add member to chat group, ""]","6755399445894071	","7.5.3","9","2019/10/03 04:32:27","BUG","","","","sm","en","SM-M105F"
"Bug其他 Other bug","","1","没有家族聊天群入口","[""i got this feedback(image1) from my previous feedback and they asked to clarify my question. so here i clarify again.."",""i am a family captian and i left [family group] bymistake"",""Note : i haven't left family (i am still a captian) u can see (image2) there's no Chat option"",""Now i want to rejoin it again.. so i can chat with my family members please help me to rejoin my family group"",""FOR ANY MORE CLARIFICATION PLEASE CONTACT ME @ MY WHATS APP NUMBER : +919880510360"",""THANK YOU""]","5348024337007347	","7.5.3","9","2019/10/03 09:01:55","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/2a7e483c364198cb6c64fe089b2beed1.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/4275312c9182cb829cfcc2a22ebc9e5c.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/5eef43d7eaad746eaf110e3b9de47e7c.jpg","sm","en","SM-G965F"
"Bug其他 Other bug","","1","VIP没有聊天气泡","[""Hi.. "",""Good Afternoon, "",""I'm a VIP 2 user, day before yesterday  had a issue related to VIP 2,which is being  solved. thanks ."",""Since yesterday  my chat bubble feature is not showing when I'm messaging in party room."",""Would be grateful  this you could  look into this matter."",""Thanks and Regards "",""Katyayani""]","3637881115	","7.5.3","9","2019/10/03 09:05:41","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/5ab7c71afbdf9c0f1a7253a15d624130.jpg","","","sm","en","SM-J730GM"
"Bug其他 Other bug","","1","VIP没有聊天气泡","[""VIP2 Chat Bubble is not Available On my VIP.  I Am Also  VIP. vip2 . SM provides The Chat Bubble  For Comment. "",""""]","6473924132051773	","7.4.9","9","2019/10/03 10:42:31","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/47758f43fcd3ae8eca424ce050e52d49.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/3ab4942829666a248adc05f7565f5811.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/18e2467bbda6a770c2fc85df402bfd17.jpg","sm","en","SM-A505F"
"Bug其他 Other bug","","1","VIP没有聊天气泡","[""I am at Vip level 2, but don't show my comments in chat bubbles""]","3639982594	","7.5.3","9","2019/10/03 11:07:21","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/e13773fe942f4e09a268ada68c346bf9.jpg","","","sm","hi","Redmi Note 6 Pro"
"Bug其他 Other bug","","1","VIP没有聊天气泡","[""I AM VIP 2 TILL 1 NOV 2019 ITS SHOWING BUT I DON'T HAVE THE CHAT BUBBLE AS PER VIP 2 KINDLY LOOK INTO IT...SO THAT I CAN GET MY CHAT BUBBLE FOR VIP 2...THANK YOU ""]","5348024334353131	","7.5.2","8.0.0","2019/10/03 13:08:36","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/beecf76184051a7033730e70c74b21a8.jpg","","","sm","en","SM-G930F"
